from.id    from.cord  to.id      to.cord
     0            0     79      1975000
    80      2000000    159      3975000
   160      4000000    239      5975000
   240      6000000    319      7975000
   320      8000000    399      9975000
   400     10000000    479     11975000
   480     12000000    559     13975000
   560     14000000    639     15975000
   640     16000000    719     17975000
   720     18000000    799     19975000
   880     22000000    959     23975000
  1060     26500000   1120     28000000
  1121     28025000   1200     30000000
  1201     30025000   1280     32000000
  1281     32025000   1360     34000000
  1361     34025000   1440     36000000
  1441     36025000   1520     38000000
  1521     38025000   1600     40000000
  1601     40025000   1680     42000000
  1681     42025000   1760     44000000
  1761     44025000   1840     46000000
  1841     46025000   1920     48000000
  1921     48025000   2000     50000000
  2001     50025000   2080     52000000
  2081     52025000   2160     54000000
  2161     54025000   2240     56000000
  2241     56025000   2320     58000000
