from.id    from.cord  to.id      to.cord
    89      2225000    168      4200000
   169      4225000    248      6200000
   249      6225000    328      8200000
   329      8225000    408     10200000
   409     10225000    488     12200000
   489     12225000    568     14200000
   569     14225000    648     16200000
   649     16225000    728     18200000
   729     18225000    808     20200000
   809     20225000    888     22200000
  1084     27100000   1163     29075000
  1164     29100000   1243     31075000
  1244     31100000   1323     33075000
  1324     33100000   1403     35075000
  1404     35100000   1483     37075000
  1484     37100000   1563     39075000
  1564     39100000   1643     41075000
  1731     43275000   1810     45250000
  1811     45275000   1890     47250000
  1891     47275000   1970     49250000
  1971     49275000   2050     51250000
  2051     51275000   2130     53250000
  2131     53275000   2210     55250000
  2211     55275000   2290     57250000
