from.id    from.cord  to.id      to.cord
     0            0     79      1975000
    80      2000000    159      3975000
   160      4000000    239      5975000
   240      6000000    319      7975000
   320      8000000    399      9975000
   400     10000000    479     11975000
   480     12000000    559     13975000
   560     14000000    639     15975000
   640     16000000    719     17975000
   720     18000000    799     19975000
  1074     26850000   1153     28825000
  1154     28850000   1233     30825000
  1234     30850000   1313     32825000
  1314     32850000   1393     34825000
  1394     34850000   1473     36825000
  1474     36850000   1553     38825000
  1554     38850000   1633     40825000
  1634     40850000   1713     42825000
  1714     42850000   1793     44825000
  1794     44850000   1873     46825000
  1874     46850000   1953     48825000
  1954     48850000   2033     50825000
  2034     50850000   2113     52825000
  2114     52850000   2193     54825000
  2194     54850000   2273     56825000
  2274     56850000   2353     58825000
  2354     58850000   2433     60825000
  2434     60850000   2513     62825000
  2594     64850000   2673     66825000
  2674     66850000   2753     68825000
  2754     68850000   2833     70825000
  2834     70850000   2913     72825000
  2914     72850000   2993     74825000
  2994     74850000   3073     76825000
  3074     76850000   3153     78825000
  3154     78850000   3233     80825000
  3234     80850000   3313     82825000
