from.id    from.cord  to.id      to.cord
     0            0     39      1950000
    40      2000000     79      3950000
    80      4000000    119      5950000
   120      6000000    159      7950000
   160      8000000    199      9950000
   200     10000000    239     11950000
   240     12000000    279     13950000
   280     14000000    319     15950000
   320     16000000    359     17950000
   360     18000000    399     19950000
   505     25250000    544     27200000
   545     27250000    550     27500000
   551     27550000    590     29500000
   591     29550000    630     31500000
   631     31550000    670     33500000
   671     33550000    710     35500000
   711     35550000    750     37500000
   751     37550000    790     39500000
   791     39550000    830     41500000
   831     41550000    870     43500000
   951     47550000    990     49500000
   991     49550000   1030     51500000
  1031     51550000   1070     53500000
  1071     53550000   1110     55500000
  1111     55550000   1150     57500000
  1151     57550000   1190     59500000
  1191     59550000   1230     61500000
  1231     61550000   1270     63500000
  1271     63550000   1310     65500000
  1311     65550000   1350     67500000
  1351     67550000   1390     69500000
  1391     69550000   1430     71500000
  1431     71550000   1470     73500000
  1471     73550000   1510     75500000
  1511     75550000   1550     77500000
  1551     77550000   1590     79500000
  1591     79550000   1630     81500000
