from.id    from.cord  to.id      to.cord
     0            0     19      1900000
    20      2000000     21      2100000
    22      2200000     41      4100000
    42      4200000     61      6100000
    62      6200000     81      8100000
    82      8200000    101     10100000
   102     10200000    121     12100000
   122     12200000    141     14100000
   142     14200000    161     16100000
   162     16200000    181     18100000
   182     18200000    201     20100000
   202     20200000    208     20800000
   209     20900000    228     22800000
   269     26900000    287     28700000
   288     28800000    307     30700000
   308     30800000    327     32700000
   328     32800000    347     34700000
   348     34800000    367     36700000
   368     36800000    387     38700000
   388     38800000    407     40700000
   408     40800000    417     41700000
   418     41800000    437     43700000
   438     43800000    441     44100000
   442     44200000    461     46100000
   462     46200000    481     48100000
   502     50200000    521     52100000
   522     52200000    541     54100000
   542     54200000    561     56100000
   562     56200000    576     57600000
