from.id    from.cord  to.id      to.cord
     0            0     19      1900000
    20      2000000     39      3900000
    40      4000000     59      5900000
    60      6000000     79      7900000
    80      8000000     94      9400000
    95      9500000    114     11400000
   115     11500000    134     13400000
   135     13500000    154     15400000
   155     15500000    174     17400000
   175     17500000    194     19400000
   195     19500000    208     20800000
   209     20900000    228     22800000
   269     26900000    285     28500000
   286     28600000    305     30500000
   306     30600000    325     32500000
   326     32600000    345     34500000
   346     34600000    365     36500000
   366     36600000    385     38500000
   386     38600000    405     40500000
   406     40600000    419     41900000
   420     42000000    439     43900000
   440     44000000    459     45900000
   460     46000000    471     47100000
   472     47200000    486     48600000
   487     48700000    493     49300000
   494     49400000    508     50800000
   509     50900000    528     52800000
   529     52900000    548     54800000
   549     54900000    568     56800000
   569     56900000    578     57800000
