from.id    from.cord  to.id      to.cord
     0            0     39      1950000
    40      2000000     42      2100000
    43      2150000     82      4100000
    83      4150000    122      6100000
   123      6150000    152      7600000
   166      8300000    169      8450000
   173      8650000    174      8700000
   176      8800000    215     10750000
   216     10800000    255     12750000
   256     12800000    295     14750000
   296     14800000    335     16750000
   336     16800000    375     18750000
   376     18800000    414     20700000
   530     26500000    569     28450000
   570     28500000    580     29000000
   581     29050000    620     31000000
   621     31050000    660     33000000
   661     33050000    700     35000000
   701     35050000    740     37000000
   741     37050000    780     39000000
   781     39050000    820     41000000
   821     41050000    830     41500000
   831     41550000    870     43500000
   871     43550000    888     44400000
   889     44450000    928     46400000
   929     46450000    968     48400000
   969     48450000    976     48800000
   977     48850000    983     49150000
   984     49200000   1023     51150000
  1024     51200000   1063     53150000
  1064     53200000   1103     55150000
  1104     55200000   1143     57150000
  1144     57200000   1150     57500000
  1152     57600000   1157     57850000
  1158     57900000   1159     57950000
  1160     58000000   1170     58500000
