from.id    from.cord  to.id      to.cord
     0            0     28      1400000
    29      1450000     33      1650000
    34      1700000     50      2500000
    51      2550000     90      4500000
    91      4550000    130      6500000
   131      6550000    164      8200000
   165      8250000    185      9250000
   186      9300000    225     11250000
   226     11300000    265     13250000
   266     13300000    305     15250000
   306     15300000    345     17250000
   346     17300000    385     19250000
   386     19300000    423     21150000
   424     21200000    463     23150000
   537     26850000    567     28350000
   568     28400000    607     30350000
   608     30400000    647     32350000
   648     32400000    687     34350000
   688     34400000    727     36350000
   728     36400000    734     36700000
   736     36800000    775     38750000
   776     38800000    815     40750000
   816     40800000    843     42150000
   844     42200000    875     43750000
   876     43800000    915     45750000
   916     45800000    955     47750000
   956     47800000    991     49550000
   992     49600000   1011     50550000
  1012     50600000   1051     52550000
  1052     52600000   1091     54550000
  1097     54850000   1104     55200000
  1105     55250000   1144     57200000
  1145     57250000   1161     58050000
