from.id    from.cord  to.id      to.cord
   729     18225000    808     20200000
   809     20225000    888     22200000
   889     22225000    968     24200000
   969     24225000   1048     26200000
  1049     26225000   1128     28200000
  1129     28225000   1208     30200000
  1209     30225000   1288     32200000
  1289     32225000   1368     34200000
  1369     34225000   1448     36200000
  1449     36225000   1528     38200000
  1529     38225000   1608     40200000
  1609     40225000   1688     42200000
  1689     42225000   1768     44200000
  1769     44225000   1848     46200000
  1849     46225000   1928     48200000
  1929     48225000   2008     50200000
