from.id    from.cord  to.id      to.cord
     0            0      7       350000
     8       400000     47      2350000
    48      2400000     87      4350000
    88      4400000    127      6350000
   128      6400000    167      8350000
   168      8400000    207     10350000
   208     10400000    247     12350000
   248     12400000    287     14350000
   288     14400000    327     16350000
   328     16400000    367     18350000
   368     18400000    407     20350000
   408     20400000    435     21750000
   459     22950000    480     24000000
   521     26050000    558     27900000
   559     27950000    598     29900000
   599     29950000    638     31900000
   639     31950000    678     33900000
   679     33950000    718     35900000
   719     35950000    758     37900000
   759     37950000    798     39900000
   799     39950000    838     41900000
   868     43400000    907     45350000
   908     45400000    947     47350000
   948     47400000    987     49350000
   988     49400000   1027     51350000
  1028     51400000   1067     53350000
  1068     53400000   1107     55350000
  1108     55400000   1147     57350000
