from.id    from.cord  to.id      to.cord
     0            0     16       800000
    17       850000     56      2800000
    57      2850000     96      4800000
    97      4850000    136      6800000
   137      6850000    176      8800000
   177      8850000    216     10800000
   217     10850000    256     12800000
   257     12850000    296     14800000
   297     14850000    336     16800000
   337     16850000    376     18800000
   377     18850000    416     20800000
   417     20850000    429     21450000
   430     21500000    469     23450000
   550     27500000    565     28250000
   566     28300000    605     30250000
   606     30300000    645     32250000
   646     32300000    685     34250000
   726     36300000    765     38250000
   766     38300000    805     40250000
   806     40300000    845     42250000
   846     42300000    853     42650000
   854     42700000    870     43500000
   871     43550000    910     45500000
   911     45550000    950     47500000
   951     47550000    990     49500000
   991     49550000   1030     51500000
  1031     51550000   1070     53500000
  1071     53550000   1110     55500000
  1111     55550000   1150     57500000
