from.id    from.cord  to.id      to.cord
     0            0     14       700000
    15       750000     54      2700000
    55      2750000     94      4700000
    95      4750000    134      6700000
   135      6750000    174      8700000
   175      8750000    214     10700000
   215     10750000    254     12700000
   255     12750000    294     14700000
   295     14750000    334     16700000
   335     16750000    374     18700000
   375     18750000    414     20700000
   415     20750000    431     21550000
   432     21600000    471     23550000
   552     27600000    563     28150000
   564     28200000    603     30150000
   604     30200000    643     32150000
   644     32200000    683     34150000
   684     34200000    723     36150000
   724     36200000    763     38150000
   764     38200000    803     40150000
   804     40200000    843     42150000
   856     42800000    868     43400000
   869     43450000    908     45400000
   909     45450000    948     47400000
   949     47450000    988     49400000
   989     49450000   1028     51400000
  1029     51450000   1068     53400000
  1069     53450000   1108     55400000
  1109     55450000   1148     57400000
