from.id    from.cord  to.id      to.cord
     0            0     25      1250000
    26      1300000     65      3250000
    66      3300000    105      5250000
   106      5300000    145      7250000
   146      7300000    169      8450000
   170      8500000    174      8700000
   175      8750000    214     10700000
   215     10750000    254     12700000
   255     12750000    294     14700000
   295     14750000    334     16700000
   335     16750000    374     18700000
   375     18750000    414     20700000
   415     20750000    431     21550000
   432     21600000    471     23550000
   552     27600000    564     28200000
   565     28250000    604     30200000
   605     30250000    644     32200000
   645     32250000    684     34200000
   685     34250000    724     36200000
   725     36250000    764     38200000
   765     38250000    804     40200000
   805     40250000    844     42200000
   845     42250000    848     42400000
   849     42450000    872     43600000
   873     43650000    912     45600000
   913     45650000    952     47600000
   953     47650000    992     49600000
   993     49650000   1032     51600000
  1033     51650000   1072     53600000
  1073     53650000   1112     55600000
  1113     55650000   1152     57600000
  1153     57650000   1166     58300000
