from.id    from.cord  to.id      to.cord
     0            0      9       450000
    10       500000     49      2450000
    50      2500000     89      4450000
    90      4500000    129      6450000
   130      6500000    169      8450000
   170      8500000    209     10450000
   210     10500000    249     12450000
   250     12500000    289     14450000
   290     14500000    329     16450000
   330     16500000    369     18450000
   370     18500000    409     20450000
   410     20500000    435     21750000
   460     23000000    473     23650000
   474     23700000    475     23750000
   558     27900000    559     27950000
   560     28000000    599     29950000
   600     30000000    639     31950000
   640     32000000    679     33950000
   680     34000000    719     35950000
   720     36000000    759     37950000
   760     38000000    799     39950000
   800     40000000    839     41950000
   840     42000000    853     42650000
   854     42700000    868     43400000
   869     43450000    908     45400000
   909     45450000    948     47400000
   949     47450000    988     49400000
   989     49450000   1028     51400000
  1029     51450000   1068     53400000
  1069     53450000   1108     55400000
  1109     55450000   1148     57400000
