from.id    from.cord  to.id      to.cord
     0            0     35      1750000
    36      1800000     75      3750000
    76      3800000    115      5750000
   116      5800000    155      7750000
   166      8300000    178      8900000
   179      8950000    218     10900000
   219     10950000    258     12900000
   259     12950000    298     14900000
   299     14950000    338     16900000
   339     16950000    378     18900000
   379     18950000    418     20900000
   419     20950000    427     21350000
   428     21400000    467     23350000
   508     25400000    547     27350000
   548     27400000    568     28400000
   569     28450000    608     30400000
   609     30450000    648     32400000
   649     32450000    688     34400000
   689     34450000    728     36400000
   729     36450000    768     38400000
   769     38450000    808     40400000
   809     40450000    844     42200000
   845     42250000    877     43850000
   878     43900000    917     45850000
   918     45900000    957     47850000
   958     47900000    997     49850000
   998     49900000   1037     51850000
  1038     51900000   1077     53850000
  1078     53900000   1117     55850000
  1118     55900000   1157     57850000
  1158     57900000   1162     58100000
