from.id    from.cord  to.id      to.cord
     0            0     13       650000
    14       700000     53      2650000
    54      2700000     93      4650000
    94      4700000    133      6650000
   134      6700000    173      8650000
   174      8700000    213     10650000
   214     10700000    253     12650000
   254     12700000    293     14650000
   294     14700000    333     16650000
   334     16700000    373     18650000
   374     18700000    413     20650000
   414     20700000    426     21300000
   427     21350000    466     23300000
   547     27350000    572     28600000
   573     28650000    612     30600000
   613     30650000    652     32600000
   653     32650000    692     34600000
   693     34650000    732     36600000
   733     36650000    772     38600000
   773     38650000    812     40600000
   813     40650000    852     42600000
   853     42650000    892     44600000
   893     44650000    932     46600000
   933     46650000    972     48600000
   973     48650000   1012     50600000
  1013     50650000   1052     52600000
  1053     52650000   1092     54600000
  1093     54650000   1132     56600000
