from.id    from.cord  to.id      to.cord
     0            0     15       750000
    16       800000     55      2750000
    56      2800000     95      4750000
    96      4800000    135      6750000
   176      8800000    215     10750000
   216     10800000    255     12750000
   256     12800000    295     14750000
   296     14800000    335     16750000
   336     16800000    375     18750000
   376     18800000    415     20750000
   416     20800000    430     21500000
   431     21550000    470     23500000
   551     27550000    564     28200000
   565     28250000    604     30200000
   605     30250000    644     32200000
   645     32250000    684     34200000
   685     34250000    724     36200000
   725     36250000    764     38200000
   765     38250000    804     40200000
   805     40250000    844     42200000
   855     42750000    869     43450000
   870     43500000    909     45450000
   910     45500000    949     47450000
   950     47500000    989     49450000
   990     49500000   1029     51450000
  1030     51500000   1069     53450000
  1070     53500000   1109     55450000
  1110     55500000   1149     57450000
