from.id    from.cord  to.id      to.cord
     0            0     11       550000
    12       600000     51      2550000
    52      2600000     91      4550000
    92      4600000    131      6550000
   132      6600000    171      8550000
   172      8600000    211     10550000
   212     10600000    251     12550000
   252     12600000    291     14550000
   292     14600000    331     16550000
   332     16600000    371     18550000
   372     18600000    411     20550000
   412     20600000    428     21400000
   429     21450000    468     23400000
   549     27450000    570     28500000
   571     28550000    610     30500000
   611     30550000    650     32500000
   651     32550000    690     34500000
   691     34550000    730     36500000
   731     36550000    770     38500000
   771     38550000    810     40500000
   811     40550000    850     42500000
   851     42550000    890     44500000
   891     44550000    930     46500000
   931     46550000    970     48500000
   971     48550000   1010     50500000
  1011     50550000   1050     52500000
  1051     52550000   1090     54500000
  1091     54550000   1130     56500000
  1131     56550000   1170     58500000
