from.id    from.cord  to.id      to.cord
     0            0     19      1900000
    20      2000000     39      3900000
    40      4000000     59      5900000
    60      6000000     79      7900000
    80      8000000     99      9900000
   100     10000000    119     11900000
   120     12000000    139     13900000
   140     14000000    142     14200000
   143     14300000    162     16200000
   163     16300000    182     18200000
   183     18300000    202     20200000
   263     26300000    282     28200000
   283     28300000    286     28600000
   307     30700000    326     32600000
   327     32700000    346     34600000
   347     34700000    348     34800000
   349     34900000    368     36800000
   369     36900000    388     38800000
   389     38900000    398     39800000
   399     39900000    418     41800000
   419     41900000    437     43700000
   438     43800000    457     45700000
   458     45800000    477     47700000
   478     47800000    486     48600000
   487     48700000    506     50600000
   507     50700000    526     52600000
   527     52700000    546     54600000
   547     54700000    566     56600000
   567     56700000    586     58600000
   587     58700000    606     60600000
   607     60700000    626     62600000
   627     62700000    646     64600000
   647     64700000    666     66600000
   667     66700000    686     68600000
   687     68700000    706     70600000
   707     70700000    726     72600000
   727     72700000    746     74600000
   747     74700000    766     76600000
   767     76700000    786     78600000
   787     78700000    795     79500000
   796     79600000    815     81500000
