from.id    from.cord  to.id      to.cord
     0            0     11      1100000
    12      1200000     31      3100000
    32      3200000     51      5100000
    52      5200000     71      7100000
    72      7200000     91      9100000
    92      9200000    111     11100000
   112     11200000    131     13100000
   132     13200000    148     14800000
   189     18900000    208     20800000
   269     26900000    277     27700000
   278     27800000    297     29700000
   298     29800000    312     31200000
   314     31400000    333     33300000
   334     33400000    353     35300000
   354     35400000    355     35500000
   356     35600000    370     37000000
   371     37100000    372     37200000
   373     37300000    391     39100000
   392     39200000    411     41100000
   412     41200000    431     43100000
   432     43200000    447     44700000
   448     44800000    467     46700000
   468     46800000    477     47700000
   478     47800000    497     49700000
   498     49800000    517     51700000
   518     51800000    537     53700000
   538     53800000    557     55700000
   558     55800000    577     57700000
   578     57800000    597     59700000
   598     59800000    617     61700000
   618     61800000    637     63700000
   638     63800000    657     65700000
   658     65800000    677     67700000
   678     67800000    697     69700000
   698     69800000    717     71700000
   718     71800000    737     73700000
   738     73800000    757     75700000
   758     75800000    777     77700000
   778     77800000    797     79700000
   798     79800000    804     80400000
   805     80500000    824     82400000
