from.id    from.cord  to.id      to.cord
     0            0     13      1300000
    14      1400000     33      3300000
    34      3400000     53      5300000
    54      5400000     73      7300000
    74      7400000     93      9300000
    94      9400000    113     11300000
   114     11400000    133     13300000
   134     13400000    146     14600000
   147     14700000    166     16600000
   267     26700000    280     28000000
   281     28100000    300     30000000
   321     32100000    340     34000000
   341     34100000    353     35300000
   354     35400000    373     37300000
   374     37400000    392     39200000
   393     39300000    412     41200000
   433     43300000    444     44400000
   465     46500000    480     48000000
   481     48100000    500     50000000
   501     50100000    520     52000000
   521     52100000    540     54000000
   541     54100000    560     56000000
   561     56100000    580     58000000
   581     58100000    600     60000000
   601     60100000    620     62000000
   621     62100000    640     64000000
   641     64100000    660     66000000
   661     66100000    680     68000000
   681     68100000    700     70000000
   701     70100000    720     72000000
   721     72100000    740     74000000
   741     74100000    760     76000000
   761     76100000    780     78000000
   781     78100000    800     80000000
   802     80200000    821     82100000
