from.id    from.cord  to.id      to.cord
    11       550000     14       700000
    20      1000000     41      2050000
    47      2350000     86      4300000
    87      4350000    126      6300000
   127      6350000    137      6850000
   143      7150000    162      8100000
   168      8400000    172      8600000
   174      8700000    177      8850000
   178      8900000    217     10850000
   218     10900000    257     12850000
   258     12900000    297     14850000
   298     14900000    337     16850000
   338     16900000    377     18850000
   378     18900000    417     20850000
   418     20900000    434     21700000
   439     21950000    461     23050000
   462     23100000    474     23700000
   553     27650000    559     27950000
   560     28000000    599     29950000
   600     30000000    639     31950000
   640     32000000    679     33950000
   680     34000000    719     35950000
   720     36000000    722     36100000
   728     36400000    742     37100000
   748     37400000    787     39350000
   788     39400000    814     40700000
   820     41000000    851     42550000
   864     43200000    868     43400000
   870     43500000    909     45450000
   910     45500000    949     47450000
   950     47500000    955     47750000
   961     48050000    977     48850000
   983     49150000    998     49900000
  1000     50000000   1003     50150000
  1005     50250000   1044     52200000
  1045     52250000   1084     54200000
  1085     54250000   1093     54650000
  1099     54950000   1138     56900000
  1139     56950000   1168     58400000
