from.id    from.cord  to.id      to.cord
     0            0     38      1900000
    39      1950000     78      3900000
    79      3950000    118      5900000
   119      5950000    156      7800000
   157      7850000    158      7900000
   160      8000000    161      8050000
   162      8100000    201     10050000
   202     10100000    241     12050000
   242     12100000    281     14050000
   282     14100000    321     16050000
   322     16100000    361     18050000
   362     18100000    401     20050000
   402     20100000    418     20900000
   534     26700000    573     28650000
   574     28700000    576     28800000
   577     28850000    616     30800000
   617     30850000    656     32800000
   657     32850000    696     34800000
   697     34850000    736     36800000
   737     36850000    776     38800000
   777     38850000    816     40800000
   817     40850000    834     41700000
   835     41750000    874     43700000
   875     43750000    884     44200000
   885     44250000    924     46200000
   925     46250000    964     48200000
   965     48250000   1004     50200000
  1005     50250000   1044     52200000
  1045     52250000   1084     54200000
  1085     54250000   1124     56200000
  1125     56250000   1153     57650000
  1155     57750000   1161     58050000
