from.id    from.cord  to.id      to.cord
     1        50000     27      1350000
    28      1400000     37      1850000
    38      1900000     50      2500000
    51      2550000     90      4500000
    91      4550000    130      6500000
   131      6550000    133      6650000
   134      6700000    143      7150000
   145      7250000    146      7300000
   147      7350000    158      7900000
   159      7950000    164      8200000
   166      8300000    184      9200000
   185      9250000    224     11200000
   225     11250000    259     12950000
   260     13000000    261     13050000
   262     13100000    264     13200000
   265     13250000    266     13300000
   267     13350000    306     15300000
   307     15350000    346     17300000
   347     17350000    386     19300000
   387     19350000    426     21300000
   427     21350000    466     23300000
   541     27050000    564     28200000
   565     28250000    604     30200000
   605     30250000    644     32200000
   645     32250000    684     34200000
   685     34250000    718     35900000
   720     36000000    724     36200000
   726     36300000    731     36550000
   732     36600000    738     36900000
   740     37000000    751     37550000
   752     37600000    791     39550000
   792     39600000    810     40500000
   812     40600000    816     40800000
   818     40900000    820     41000000
   822     41100000    823     41150000
   824     41200000    839     41950000
   840     42000000    843     42150000
   844     42200000    846     42300000
   866     43300000    873     43650000
   874     43700000    913     45650000
   914     45700000    951     47550000
   952     47600000    957     47850000
   959     47950000    964     48200000
   965     48250000    973     48650000
   975     48750000    979     48950000
   981     49050000    986     49300000
   987     49350000    994     49700000
   995     49750000   1008     50400000
  1009     50450000   1048     52400000
  1049     52450000   1088     54400000
  1090     54500000   1102     55100000
  1103     55150000   1142     57100000
  1143     57150000   1164     58200000
